buss_no,fiscalyear,balancebf,current_balance,totalamountdue,transdate,electoralarea,assessmentby,buss_type
1119,2015,0,720,720,2015-01-01 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Fuel Filling & Serv. Station
21,2015,0,36,36,2015-01-01 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
22,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
23,2015,0,60,60,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Beer / Wine / Spirit Sellers
29,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
48,2015,0,72,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,Provision Store
62,2015,0,72,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
74,2015,0,120,120,2015-01-01 00:00:00.000,SALTPOND,supervisor,Provision Store
77,2015,0,240,240,2015-01-01 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
78,2015,0,72,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,Provision Store
107,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
117,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor, Bakers Small Scale
143,2015,0,180,360,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Chop Bar/Fast food Joint
152,2015,60,60,120,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Materials
172,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
1598,2015,300,300,600,2015-01-01 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Hospitality/Guests/Hotel/Motel Business Class A
178,2015,36,36,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
181,2015,0,240,240,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
185,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Beads & Jewelry   Category A
187,2015,0,300,300,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
195,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
198,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Medium Fitting Shop
201,2015,0,60,60,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Beer / Wine / Spirit Sellers
202,2015,180,180,360,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Chemical sellers (Big)
