buss_no,officer_no,paidamount,monthpaid,transdate,fiscal_year,receiptno,electroral_area,buss_type,email
1032,1,12,January,2015-01-07 00:00:00.000,2015,308408,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1036,1,6,January,2015-01-21 00:00:00.000,2015,308407,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1035,1,20,January,2015-01-01 00:00:00.000,2015,308416,MANKESSIM,Carpenters/Welders/Fitters/Mason/Tailors,
1017,1,3,January,2015-01-01 00:00:00.000,2015,308412,MANKESSIM,Carpenters/Welders/Fitters/Mason/Tailors,
120,1,20,January,2015-01-01 00:00:00.000,2015,308401,SALTPOND, Bakers Small Scale,
459,1,10,January,2015-01-01 00:00:00.000,2015,308413,CORPORATE INSTITUTIONS,Hard-Ware ,
1006,1,10,June,2015-06-25 00:00:00.000,2015,308500,MANKESSIM,Comm. Centre/Secretarial Services,
1032,1,5,June,2015-06-18 00:00:00.000,2015,308483,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1035,1,10,June,2015-06-25 00:00:00.000,2015,308496,MANKESSIM,Carpenters/Welders/Fitters/Mason/Tailors,
1044,1,20,June,2015-06-18 00:00:00.000,2015,308485,MANKESSIM,Carpentry,
1047,1,36,June,2015-06-18 00:00:00.000,2015,308466,MANKESSIM,Provision Store,
1052,1,20,June,2015-06-08 00:00:00.000,2015,308426,MANKESSIM,Auto Electrician,
1057,1,6,June,2015-06-18 00:00:00.000,2015,308469,MANKESSIM,Carpenters/Welders/Fitters/Mason/Tailors,
1061,1,50,June,2015-06-25 00:00:00.000,2015,308493,MANKESSIM,GENERAL MERCHANT,
1128,1,10,June,2015-06-25 00:00:00.000,2015,308489,MANKESSIM,Small Spare Parts Shop,
1147,1,20,June,2015-06-25 00:00:00.000,2015,308498,MANKESSIM,TV & Electrical Appliance (Lawyer Enchil & Kama et,
1160,1,6,June,2015-06-01 00:00:00.000,2015,308442,MANKESSIM,TV & Electrical Appliance (Lawyer Enchil & Kama et,
1160,1,6,June,2015-06-08 00:00:00.000,2015,308420,MANKESSIM,TV & Electrical Appliance (Lawyer Enchil & Kama et,
1169,1,10,June,2015-06-18 00:00:00.000,2015,308484,MANKESSIM,GENERAL GOODS,
120,1,5,June,2015-06-01 00:00:00.000,2015,308454,SALTPOND, Bakers Small Scale,
120,1,10,June,2015-06-01 00:00:00.000,2015,308453,SALTPOND, Bakers Small Scale,
1275,1,10,June,2015-06-01 00:00:00.000,2015,308449,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1280,1,20,June,2015-06-08 00:00:00.000,2015,308418,MANKESSIM,Carpenters/Welders/Fitters/Mason/Tailors,
1289,1,5,June,2015-06-25 00:00:00.000,2015,308488,MANKESSIM,Carpenters/Welders/Fitters/Mason/Tailors,
1294,1,15,June,2015-06-18 00:00:00.000,2015,308463,MANKESSIM,Small Spare Parts Shop,
1294,1,20,June,2015-06-18 00:00:00.000,2015,308474,MANKESSIM,Small Spare Parts Shop,
1294,1,15,June,2015-06-25 00:00:00.000,2015,308490,MANKESSIM,Small Spare Parts Shop,
1307,1,6,June,2015-06-08 00:00:00.000,2015,308427,MANKESSIM,Medium Fitting Shop,
1312,1,20,June,2015-06-18 00:00:00.000,2015,308476,MANKESSIM,MERCY CREAM,
1323,1,6,June,2015-06-18 00:00:00.000,2015,308459,MANKESSIM,Medium Fitting Shop,
1323,1,10,June,2015-06-18 00:00:00.000,2015,308460,MANKESSIM,Medium Fitting Shop,
1336,1,10,June,2015-06-18 00:00:00.000,2015,308465,MANKESSIM,Photostat Machine Operators,
1385,1,20,June,2015-06-18 00:00:00.000,2015,308482,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1387,1,8,June,2015-06-18 00:00:00.000,2015,308461,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1394,1,10,June,2015-06-18 00:00:00.000,2015,308479,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1400,1,5,June,2015-06-18 00:00:00.000,2015,308468,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1401,1,6,June,2015-06-08 00:00:00.000,2015,308424,MANKESSIM,Provision Store,
1405,1,6,June,2015-06-25 00:00:00.000,2015,308494,MANKESSIM,TV & Electrical Appliance (Lawyer Enchil & Kama et,
1421,1,5,June,2015-06-01 00:00:00.000,2015,308452,MANKESSIM,TV & Electrical Appliance (Lawyer Enchil & Kama et,
1421,1,10,June,2015-06-01 00:00:00.000,2015,308440,MANKESSIM,TV & Electrical Appliance (Lawyer Enchil & Kama et,
1423,1,10,June,2015-06-25 00:00:00.000,2015,308495,MANKESSIM,Provision Store,
1425,1,9,June,2015-06-18 00:00:00.000,2015,308486,MANKESSIM,Carpenters/Welders/Fitters/Mason/Tailors,
1429,1,3,June,2015-06-01 00:00:00.000,2015,308438,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1437,1,9,June,2015-06-18 00:00:00.000,2015,308481,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1440,1,10,June,2015-06-08 00:00:00.000,2015,308425,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
1454,1,30,June,2015-06-25 00:00:00.000,2015,308499,MANKESSIM,Provision Store,
820,1,6,June,2015-06-01 00:00:00.000,2015,308455,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
820,1,6,June,2015-06-08 00:00:00.000,2015,308419,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
820,1,6,June,2015-06-08 00:00:00.000,2015,308423,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
959,1,10,June,2015-06-01 00:00:00.000,2015,308439,MANKESSIM,Cement Shops,
988,1,5,June,2015-06-01 00:00:00.000,2015,308451,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
994,1,10,June,2015-06-18 00:00:00.000,2015,308473,MANKESSIM,Pure Water Distributors ,
100,1,5,August,2015-08-11 00:00:00.000,2015,310388,MANKESSIM,Mobile to Mobile Transfers & Credit Cards ,
