buss_no,receiptno,description,transdate,amount
1032,308408,PAYMENT RECEIPT,2015-01-07 00:00:00.000,12
1036,308407,PAYMENT RECEIPT,2015-01-21 00:00:00.000,6
1035,308416,PAYMENT RECEIPT,2015-01-01 00:00:00.000,20
1017,308412,PAYMENT RECEIPT,2015-01-01 00:00:00.000,3
120,308401,PAYMENT RECEIPT,2015-01-01 00:00:00.000,20
459,308413,PAYMENT RECEIPT,2015-01-01 00:00:00.000,10
1006,308500,PAYMENT RECEIPT,2015-06-25 00:00:00.000,10
1032,308483,PAYMENT RECEIPT,2015-06-18 00:00:00.000,5
1035,308496,PAYMENT RECEIPT,2015-06-25 00:00:00.000,10
1044,308485,PAYMENT RECEIPT,2015-06-18 00:00:00.000,20
1047,308466,PAYMENT RECEIPT,2015-06-18 00:00:00.000,36
1052,308426,PAYMENT RECEIPT,2015-06-08 00:00:00.000,20
1057,308469,PAYMENT RECEIPT,2015-06-18 00:00:00.000,6
1061,308493,PAYMENT RECEIPT,2015-06-25 00:00:00.000,50
1128,308489,PAYMENT RECEIPT,2015-06-25 00:00:00.000,10
1147,308498,PAYMENT RECEIPT,2015-06-25 00:00:00.000,20
1160,308442,PAYMENT RECEIPT,2015-06-01 00:00:00.000,6
1160,308420,PAYMENT RECEIPT,2015-06-08 00:00:00.000,6
1169,308484,PAYMENT RECEIPT,2015-06-18 00:00:00.000,10
120,308454,PAYMENT RECEIPT,2015-06-01 00:00:00.000,5
120,308453,PAYMENT RECEIPT,2015-06-01 00:00:00.000,10
1275,308449,PAYMENT RECEIPT,2015-06-01 00:00:00.000,10
1280,308418,PAYMENT RECEIPT,2015-06-08 00:00:00.000,20
1289,308488,PAYMENT RECEIPT,2015-06-25 00:00:00.000,5
1294,308463,PAYMENT RECEIPT,2015-06-18 00:00:00.000,15
1294,308474,PAYMENT RECEIPT,2015-06-18 00:00:00.000,20
1294,308490,PAYMENT RECEIPT,2015-06-25 00:00:00.000,15
1307,308427,PAYMENT RECEIPT,2015-06-08 00:00:00.000,6
1312,308476,PAYMENT RECEIPT,2015-06-18 00:00:00.000,20
1323,308459,PAYMENT RECEIPT,2015-06-18 00:00:00.000,6
1323,308460,PAYMENT RECEIPT,2015-06-18 00:00:00.000,10
1336,308465,PAYMENT RECEIPT,2015-06-18 00:00:00.000,10
1385,308482,PAYMENT RECEIPT,2015-06-18 00:00:00.000,20
1387,308461,PAYMENT RECEIPT,2015-06-18 00:00:00.000,8
1394,308479,PAYMENT RECEIPT,2015-06-18 00:00:00.000,10
1400,308468,PAYMENT RECEIPT,2015-06-18 00:00:00.000,5
1401,308424,PAYMENT RECEIPT,2015-06-08 00:00:00.000,6
1405,308494,PAYMENT RECEIPT,2015-06-25 00:00:00.000,6
1421,308452,PAYMENT RECEIPT,2015-06-01 00:00:00.000,5
1421,308440,PAYMENT RECEIPT,2015-06-01 00:00:00.000,10
1423,308495,PAYMENT RECEIPT,2015-06-25 00:00:00.000,10
1425,308486,PAYMENT RECEIPT,2015-06-18 00:00:00.000,9
1429,308438,PAYMENT RECEIPT,2015-06-01 00:00:00.000,3
1437,308481,PAYMENT RECEIPT,2015-06-18 00:00:00.000,9
1440,308425,PAYMENT RECEIPT,2015-06-08 00:00:00.000,10
1454,308499,PAYMENT RECEIPT,2015-06-25 00:00:00.000,30
820,308455,PAYMENT RECEIPT,2015-06-01 00:00:00.000,6
820,308419,PAYMENT RECEIPT,2015-06-08 00:00:00.000,6
820,308423,PAYMENT RECEIPT,2015-06-08 00:00:00.000,6
959,308439,PAYMENT RECEIPT,2015-06-01 00:00:00.000,10
988,308451,PAYMENT RECEIPT,2015-06-01 00:00:00.000,5
994,308473,PAYMENT RECEIPT,2015-06-18 00:00:00.000,10
